"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"1","Alex Abrines","SG","23","OKC","13","0","14.6","1.8","4.7",".377","0.9","3.2",".293","0.8","1.5",".550",".475","0.8","0.8",".909","0.2","1.0","1.2","0.5","0.4","0.0","0.9","1.1","5.2","0","6.7",".516",".672",".180","1.2","7.3","4.3","4.5","1.3","0.0","15.4","17.2","-0.1","0.2","0.1",".028","-2.9","-2.0","-4.9","-0.1","0","1","0","0","0"
"2","Quincy Acy","PF","26","DAL","6","0","8.0","0.8","2.8",".294","0.2","1.3",".125","0.7","1.5",".444",".324","0.3","0.5",".667","0.3","1.0","1.3","0.0","0.0","0.0","0.3","1.5","2.2","0","-0.9",".355",".471",".176","4.4","15.3","9.4","0.0","0.0","0.0","9.8","19.9","-0.1","0.0","-0.1","-0.113","-10.3","-5.3","-15.6","-0.2","0","0","1","1","0"
"3","Steven Adams","C","23","OKC","14","14","32.0","3.8","7.4",".510","0.0","0.0",".000","3.8","7.4",".510",".510","2.3","2.6",".889","2.9","5.2","8.1","0.7","1.4","1.1","2.4","2.6","9.9","0","13.1",".576",".000",".346","10.3","17.5","14.0","3.2","2.2","2.8","22.1","14.4","0.2","0.8","1.0",".107","-2.9","2.7","-0.1","0.2","0","0","0","0","1"
"4","Arron Afflalo","SG","31","SAC","14","13","28.1","3.4","7.8",".431","0.9","2.4",".364","2.5","5.4",".461",".486","2.1","2.2",".935","0.3","2.4","2.6","0.8","0.3","0.1","0.3","2.0","9.6","0","10.1",".550",".303",".284","1.2","9.8","5.5","4.4","0.5","0.2","3.2","14.5","0.6","0.0","0.6",".068","-0.5","-2.4","-3.0","-0.1","0","1","1","0","0"
"5","Alexis Ajinca","C","28","NOP","7","0","13.4","1.7","3.9",".444","0.0","0.0",".000","1.7","3.9",".444",".444","0.4","0.6",".750","1.1","2.6","3.7","0.1","0.1","0.7","0.7","1.9","3.9","0","8.9",".469",".000",".148","8.9","20.5","14.7","1.6","0.5","4.3","14.8","15.9","-0.1","0.1","0.0",".015","-7.3","-0.3","-7.5","-0.1","0","0","0","1","1"
"6","Cole Aldrich","C","28","MIN","12","0","12.8","1.2","2.2",".538","0.0","0.0",".000","1.2","2.2",".538",".538","0.3","0.6",".429","1.1","2.3","3.4","0.4","0.8","0.4","0.3","2.7","2.6","0","12.0",".533",".000",".269","9.5","22.3","15.6","4.7","3.3","2.8","9.4","9.2","0.2","0.2","0.4",".131","-0.6","2.4","1.8","0.1","0","0","0","0","1"
"7","LaMarcus Aldridge","PF","31","SAS","12","12","32.5","6.9","14.5",".477","0.6","1.0",".583","6.3","13.5",".469",".497","3.8","4.3",".885","1.6","5.3","6.9","1.3","0.8","1.1","1.7","2.3","18.3","0","19.2",".556",".069",".299","5.5","18.6","12.1","7.3","1.3","2.9","9.2","25.6","0.6","0.5","1.1",".137","-0.4","0.3","0.0","0.2","0","0","0","1","1"
"8","Lavoy Allen","PF","27","IND","14","0","15.1","1.1","2.8",".385","0.0","0.1",".000","1.1","2.7",".395",".385","0.1","0.3",".500","1.3","1.6","2.9","1.1","0.3","0.4","0.4","1.4","2.3","1","7.7",".393",".026",".103","9.4","11.9","10.7","10.0","0.9","2.0","12.8","9.7","0.0","0.1","0.1",".032","-3.1","0.4","-2.7","0.0","0","0","0","1","1"
"9","Tony Allen","SG","35","MEM","6","4","21.0","2.5","6.8",".366","0.2","0.5",".333","2.3","6.3",".368",".378","1.2","1.7",".700","1.8","1.8","3.7","0.3","1.8","0.3","1.0","2.8","6.3","1","10.2",".419",".073",".244","10.0","10.6","10.3","2.7","4.5","1.5","11.7","18.5","-0.1","0.2","0.1",".046","-4.2","2.6","-1.6","0.0","0","1","1","0","0"
"10","Al-Farouq Aminu","SF","26","POR","8","8","26.1","2.1","7.6",".279","1.1","4.5",".250","1.0","3.1",".320",".352","1.0","1.9",".533","0.9","5.8","6.6","1.6","1.5","0.9","1.5","1.3","6.4","0","8.3",".377",".590",".246","3.6","23.4","13.6","8.7","2.8","2.6","15.1","16.7","-0.4","0.2","-0.2","-0.042","-4.5","1.7","-2.8","0.0","0","0","1","1","0"
"11","Chris Andersen","C","38","CLE","4","0","7.5","0.8","2.3",".333","0.0","0.3",".000","0.8","2.0",".375",".333","1.0","1.5",".667","1.3","1.5","2.8","0.3","0.5","0.5","0.8","1.0","2.5","1","14.0",".430",".111",".667","18.4","20.6","19.6","4.7","3.3","5.2","20.5","21.2","0.0","0.1","0.0",".066","-5.1","3.2","-1.9","0.0","0","0","0","1","1"
"12","Alan Anderson","SF","34","LAC","1","0","9.0","1.0","3.0",".333","1.0","2.0",".500","0.0","1.0",".000",".500","0.0","0.0",".000","1.0","0.0","1.0","1.0","0.0","0.0","1.0","1.0","3.0","1","6.5",".500",".667",".000","12.7","0.0","6.1","15.9","0.0","0.0","25.0","19.7","0.0","0.0","0.0",".019","0.0","-2.7","-2.7","0.0","0","1","1","0","0"
"13","Justin Anderson","SF","23","DAL","12","2","22.3","2.7","7.8",".340","0.5","2.8",".176","2.2","5.0",".433",".372","1.3","1.8",".714","1.4","2.9","4.3","1.3","0.9","0.6","0.9","1.8","7.1","0","10.5",".412",".362",".223","6.7","16.0","11.0","9.9","2.1","2.5","9.6","20.1","-0.3","0.4","0.1",".016","-4.5","2.1","-2.4","0.0","0","0","1","0","0"
"14","Kyle Anderson","SG","23","SAS","12","7","17.4","0.9","2.7",".344","0.3","0.7",".500","0.6","2.0",".292",".406","0.3","0.3",".750","0.6","2.8","3.3","1.0","0.9","0.3","0.3","0.8","2.4","0","9.3",".430",".250",".125","3.8","17.9","10.9","7.9","2.7","1.7","10.6","8.3","0.0","0.3","0.3",".077","-2.2","3.7","1.5","0.2","0","1","1","0","0"
"15","Ryan Anderson","PF","28","HOU","13","13","32.2","4.4","11.5",".380","2.6","6.3",".415","1.8","5.2",".338",".493","1.0","1.2",".813","2.2","4.0","6.2","0.6","0.3","0.1","1.0","1.7","12.4","0","10.8",".513",".547",".107","7.8","14.2","10.9","2.8","0.5","0.2","7.6","17.5","0.4","0.1","0.5",".062","-0.1","-3.5","-3.6","-0.2","0","0","0","1","1"
"16","Giannis Antetokounmpo","SG","22","MIL","12","12","34.8","8.3","16.8",".495","0.4","2.3",".179","7.9","14.5",".546",".507","4.8","6.3",".760","1.8","6.6","8.3","5.4","1.8","2.1","3.2","3.7","21.8","0","24.2",".557",".139",".371","5.5","20.2","13.0","27.8","2.5","5.1","13.9","28.6","0.8","0.7","1.5",".172","3.5","3.2","6.7","0.9","0","0","1","0","0"
