"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"1","Quincy Acy","PF","25","SAC","42","19","13.5","1.8","2.9",".602","0.2","0.5",".421","1.6","2.5",".635",".634","0.6","0.9",".750","1.1","1.9","3.0","0.4","0.4","0.4","0.4","1.7","4.4","1","14.7",".659",".154",".293","9.0","15.0","12.0","4.3","1.5","2.3","10.3","11.6","1.3","0.4","1.7",".144","0.4","0.2","0.6","0.4","0","0","1","1","0"
"2","Jordan Adams","SG","21","MEM","2","0","7.5","1.0","3.0",".333","0.0","0.5",".000","1.0","2.5",".400",".333","1.5","2.5",".600","0.0","1.0","1.0","1.5","1.5","0.0","1.0","1.0","3.5","0","17.3",".427",".167",".833","0.0","15.6","7.6","32.3","10.3","0.0","19.6","31.0","0.0","0.0","0.0",".019","-3.0","5.0","2.0","0.0","0","1","0","0","0"
"3","Steven Adams","C","22","OKC","64","64","24.9","3.0","5.0",".599","0.0","0.0",".000","3.0","5.0",".599",".599","1.4","2.4",".590","2.6","3.9","6.5","0.7","0.4","1.1","1.0","2.9","7.5","0","14.5",".612",".000",".484","12.1","16.3","14.3","4.0","0.8","3.4","14.6","12.3","3.0","1.7","4.7",".143","0.2","1.0","1.2","1.3","0","0","0","0","1"
"4","Arron Afflalo","SG","30","NYK","57","56","34.2","5.4","11.8",".457","1.4","3.5",".387","4.0","8.3",".486",".514","1.7","2.0",".875","0.3","3.5","3.8","2.0","0.4","0.2","1.1","2.1","13.8","1","12.1",".547",".296",".167","0.9","11.1","6.1","9.7","0.6","0.3","8.0","18.2","2.2","0.7","2.9",".071","0.2","-1.8","-1.6","0.2","0","1","1","0","0"
"5","Alexis Ajinca","C","27","NOP","47","9","12.4","1.9","4.0",".473","0.0","0.0",".000","1.9","4.0",".476",".473","0.7","0.8",".816","1.1","2.9","4.0","0.4","0.3","0.6","0.5","2.2","4.4","0","13.5",".510",".005",".202","9.4","27.0","17.9","5.3","1.0","3.6","10.9","17.5","0.4","0.6","1.0",".086","-4.0","0.2","-3.8","-0.3","0","0","0","1","1"
"6","Cole Aldrich","C","27","LAC","43","2","12.0","2.1","3.8",".556","0.0","0.0",".000","2.1","3.8",".556",".556","1.0","1.5",".651","1.3","3.0","4.3","0.8","0.6","0.9","1.0","2.3","5.1","1","19.8",".582",".000",".389","12.0","26.9","19.5","10.9","2.5","5.8","17.8","20.0","0.8","1.2","2.0",".184","-1.6","4.8","3.2","0.7","0","0","0","0","1"
"7","LaMarcus Aldridge","PF","30","SAS","61","61","30.4","7.1","14.0",".508","0.0","0.2",".000","7.1","13.7",".517",".508","3.5","4.0",".858","2.4","6.1","8.5","1.5","0.4","1.1","1.3","2.2","17.7","0","21.8",".561",".018",".290","9.2","22.0","15.8","8.1","0.6","2.9","7.7","25.5","4.6","3.8","8.4",".216","0.5","1.0","1.5","1.6","0","0","0","1","1"
"8","Cliff Alexander","PF","20","POR","7","0","4.4","0.7","1.4",".500","0.0","0.0",".000","0.7","1.4",".500",".500","0.0","0.0",".000","0.3","0.6","0.9","0.0","0.1","0.3","0.1","0.0","1.4","0","14.3",".500",".000",".000","7.0","14.0","10.5","0.0","1.6","5.1","9.1","15.6","0.0","0.0","0.0",".065","-5.9","-1.4","-7.2","0.0","0","0","0","1","0"
"9","Lavoy Allen","PF","26","IND","63","21","20.9","2.5","4.8",".510","0.0","0.0",".000","2.5","4.8",".510",".510","0.5","0.8",".608","2.1","3.4","5.5","1.0","0.3","0.6","0.9","1.9","5.4","0","12.3",".522",".000",".168","11.1","17.7","14.4","7.3","0.8","2.2","14.6","12.7","1.2","1.7","2.9",".106","-2.0","1.5","-0.5","0.5","0","0","0","1","1"
"10","Tony Allen","SF","34","MEM","51","44","24.9","3.0","6.7",".443","0.3","0.6",".433","2.7","6.1",".444",".462","1.1","1.9",".604","1.6","3.2","4.8","1.0","1.7","0.3","1.1","2.8","7.4","0","11.8",".487",".087",".280","7.2","14.8","10.9","6.3","3.5","0.9","12.7","15.8","0.1","1.8","1.8",".070","-2.1","1.7","-0.4","0.5","0","1","1","0","0"
