Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGP,TH,THA,THP,TW,TWA,TWP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FA
1,Stephen Curry,PG,27,GSW,53,53,33.8,10.0,19.6,.508,4.9,10.8,.455,5.1,8.8,.574,.633,4.9,5.4,.909,0.9,4.4,5.3,6.6,2.2,0.2,3.3,2.0,29.8,0
2,James Harden,SG,26,HOU,57,57,37.4,8.3,19.2,.429,2.8,7.9,.349,5.5,11.3,.486,.501,9.0,10.4,.866,0.8,5.6,6.4,7.0,1.6,0.6,4.5,2.8,28.3,0
3,Kevin Durant,SF,27,OKC,49,49,36.0,9.6,18.8,.507,2.5,6.3,.392,7.1,12.5,.565,.573,6.2,6.9,.893,0.6,7.3,7.9,4.5,0.9,1.2,3.2,1.8,27.7,1
4,DeMarcus Cousins,C,25,SAC,46,46,34.4,9.3,20.5,.452,1.2,3.3,.362,8.1,17.2,.469,.481,7.5,10.3,.728,2.3,9.0,11.3,3.1,1.3,1.4,3.8,3.7,27.3,0
5,Damian Lillard,PG,25,POR,50,50,36.0,8.5,19.9,.427,3.1,8.2,.372,5.4,11.6,.466,.504,5.1,5.9,.862,0.7,3.6,4.2,7.2,1.1,0.3,3.3,2.4,25.1,0
6,LeBron James,SF,31,CLE,54,54,35.9,9.5,18.9,.501,1.0,3.8,.272,8.4,15.1,.559,.528,4.8,6.6,.721,1.2,6.0,7.2,6.6,1.4,0.7,3.1,1.9,24.8,1
7,Anthony Davis,PF,22,NOP,50,50,35.7,9.2,18.2,.503,0.5,1.6,.305,8.7,16.6,.523,.517,5.2,6.9,.746,2.2,8.1,10.3,1.9,1.3,2.2,2.0,2.4,24.0,0
8,Russell Westbrook,PG,27,OKC,56,56,34.3,8.5,18.5,.460,1.2,4.0,.296,7.3,14.5,.506,.492,5.8,7.1,.823,1.8,5.8,7.5,10.2,2.3,0.3,4.1,2.5,24.0,0
9,Paul George,PF,25,IND,56,56,35.5,7.4,18.0,.412,2.8,7.2,.384,4.6,10.8,.431,.489,5.8,6.8,.855,0.9,6.2,7.1,4.1,1.8,0.3,3.6,3.0,23.4,0
10,DeMar DeRozan,SG,26,TOR,55,55,36.1,7.9,17.7,.443,0.6,1.9,.337,7.2,15.8,.456,.461,7.0,8.4,.837,0.8,3.5,4.3,4.0,1.0,0.3,2.3,2.1,23.3,1
